id,title,japanese,category,difficulty
104,スマートフォン決済,スマートフォン決済は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,中級
105,少子高齢化,少子高齢化は、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,上級
106,地域医療,地域医療は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,初級
107,空き家問題,空き家問題は、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,初級
108,地方移住,地方移住は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,中級
109,二拠点生活,二拠点生活は、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,中級
110,ワーケーション,ワーケーションは、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,上級
111,テレワーク,テレワークは、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,初級
112,働き方改革,働き方改革は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,初級
113,おもてなし,おもてなしは、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,中級
114,多言語表示,多言語表示は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,中級
115,ユニバーサルデザイン,ユニバーサルデザインは、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,上級
116,バリアフリー観光,バリアフリー観光は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,初級
117,ペットボトル回収,ペットボトル回収は、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,初級
118,食品ロス,食品ロスは、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,中級
119,防犯カメラ,防犯カメラは、現代の日本社会を知るうえで身近なテーマです。便利さや安全性を支える仕組みとして定着してきましたが、地域差、高齢化、環境問題などの課題とも関係しています。訪日客には、単なる習慣ではなく、日本人の生活感覚と結びつけて説明すると理解されやすくなります。,生活・社会,中級
120,民泊,民泊は、日本で暮らす人々の日常に深く関わっています。外国人から見ると珍しく感じられる一方、日本人にとっては当たり前の仕組みとして利用されています。背景にあるルールやマナー、社会的な理由を補足すると、文化の違いを伝える良い題材になります。,生活・社会,上級
121,寿司,寿司は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
122,天ぷら,天ぷらは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
123,そば,そばは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
124,うどん,うどんは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
125,ラーメン,ラーメンは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,上級
126,お好み焼き,お好み焼きは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
127,たこ焼き,たこ焼きは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
128,和牛,和牛は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
129,精進料理,精進料理は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
130,懐石料理,懐石料理は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,上級
131,弁当,弁当は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
132,駅弁,駅弁は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
133,おにぎり,おにぎりは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
134,味噌汁,味噌汁は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
135,出汁,出汁は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,上級
136,醤油,醤油は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
137,日本酒,日本酒は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
138,緑茶,緑茶は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
139,抹茶,抹茶は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
140,和菓子,和菓子は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,上級
141,たい焼き,たい焼きは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
142,かき氷,かき氷は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
143,恵方巻,恵方巻は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
144,おせち料理,おせち料理は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
145,雑煮,雑煮は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,上級
146,節分,節分は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
147,ひな祭り,ひな祭りは、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
148,端午の節句,端午の節句は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
149,七夕,七夕は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
150,お盆,お盆は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,上級
151,お月見,お月見は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
152,紅葉狩り,紅葉狩りは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
153,花見,花見は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
154,初詣,初詣は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
155,成人式,成人式は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,上級
156,七五三,七五三は、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,初級
157,神前結婚式,神前結婚式は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,初級
158,盆踊り,盆踊りは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,中級
159,花火大会,花火大会は、日本の食文化や年中行事を代表するものの一つです。季節の変化を大切にし、家族や地域の人々が集まる機会として受け継がれてきました。材料や作法には地域差があり、同じ名前でも土地によって味や意味が異なることがあります。,食・行事,中級
160,餅つき,餅つきは、外国人旅行者にも説明しやすい日本文化の題材です。味や見た目だけでなく、旬の食材、縁起、もてなしの心といった考え方が込められています。実際に食べたり参加したりする体験を通じて、より深く理解してもらえる点も魅力です。,食・行事,上級
161,米作り,米作りは、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
162,棚田,棚田は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
163,漁港,漁港は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
164,築地と豊洲市場,築地と豊洲市場は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
165,海女,海女は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,上級
166,真珠養殖,真珠養殖は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
167,林業,林業は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
168,竹林,竹林は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
169,和牛の生産,和牛の生産は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
170,日本茶の栽培,日本茶の栽培は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,上級
171,酒蔵,酒蔵は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
172,味噌作り,味噌作りは、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
173,醤油蔵,醤油蔵は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
174,伝統工芸,伝統工芸は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
175,刃物産業,刃物産業は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,上級
176,織物産業,織物産業は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
177,染物,染物は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
178,ガラス工芸,ガラス工芸は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
179,木工芸,木工芸は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
180,紙漉き,紙漉きは、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,上級
181,温泉資源,温泉資源は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
182,火山,火山は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
183,台風,台風は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
184,梅雨,梅雨は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
185,桜前線,桜前線は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,上級
186,紅葉前線,紅葉前線は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
187,里山,里山は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
188,雪国の暮らし,雪国の暮らしは、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
189,灌漑用水,灌漑用水は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
190,水田と生物多様性,水田と生物多様性は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,上級
191,再生可能エネルギー,再生可能エネルギーは、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
192,太陽光発電,太陽光発電は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
193,風力発電,風力発電は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
194,水素社会,水素社会は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
195,リニア中央新幹線,リニア中央新幹線は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,上級
196,ロボット産業,ロボット産業は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,初級
197,ゲーム産業,ゲーム産業は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,初級
198,アニメ産業,アニメ産業は、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,中級
199,キャラクター文化,キャラクター文化は、日本の自然環境、産業、地域の技術を理解するうえで重要なテーマです。気候や地形、人々の工夫が結びつき、長い時間をかけて独自の発展を遂げてきました。近年は観光資源としても注目され、環境保全や後継者不足との両立が課題になっています。,自然・産業・現代文化,中級
200,医療ツーリズム,医療ツーリズムは、伝統と現代の変化が交わる日本らしい話題です。地域の暮らしや産業を支える一方で、新しい技術、ブランド化、観光との連携によって価値が広がっています。訪問者に説明する際は、作り手の努力や社会的な背景にも触れると印象に残ります。,自然・産業・現代文化,上級
